"name","plataform","metascore","metascore_reviews","metascore_norm","metascore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"NieR: Automata","PlayStation 4",88,101,8.8,"ALTO",2017-03-07,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Rise of the Tomb Raider: 20 Year Celebration","PlayStation 4",88,55,8.8,"ALTO",2016-10-11,"Action Adventure/Linear","Action Adventure",1,"metascore"
"NBA 2K17","PlayStation 4",88,47,8.8,"ALTO",2016-09-16,"Sports/Team/Basketball/Sim","Sports",0,"metascore"
"Dishonored 2","PlayStation 4",88,62,8.8,"ALTO",2016-11-10,"Action Adventure/General","Action Adventure",0,"metascore"
"Injustice 2: Legendary Edition","PlayStation 4",88,7,8.8,"ALTO",2018-03-27,"Action/Fighting/2D","Action",1,"metascore"
"Divinity: Original Sin Enhanced Edition","PlayStation 4",88,39,8.8,"ALTO",2015-10-27,"Role-Playing/Action RPG/Western-Style","Role-Playing",0,"metascore"
"Devil May Cry 5","PlayStation 4",88,42,8.8,"ALTO",2019-03-08,"Action Adventure/General","Action Adventure",0,"metascore"
"Slay the Spire","PlayStation 4",88,7,8.8,"ALTO",2019-05-21,"Strategy/Turn-Based/Card Battle","Strategy",1,"metascore"
"Owlboy","PlayStation 4",88,10,8.8,"ALTO",2018-04-10,"Action Adventure/General","Action Adventure",0,"metascore"
"Keep Talking and Nobody Explodes","PlayStation 4",88,9,8.8,"ALTO",2016-10-13,"Adventure/3D/First-Person","Adventure",1,"metascore"
"The Talos Principle: Deluxe Edition","PlayStation 4",88,31,8.8,"ALTO",2015-10-13,"Adventure/3D/First-Person/Sci-Fi","Adventure",1,"metascore"
"Nex Machina: Death Machine","PlayStation 4",88,47,8.8,"ALTO",2017-06-20,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",1,"metascore"
"Nioh","PlayStation 4",88,100,8.8,"ALTO",2017-02-07,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Guacamelee! Super Turbo Championship Edition","PlayStation 4",87,30,8.7,"ALTO",2014-07-01,"Action/Platformer/2D","Action",0,"metascore"
"Frostpunk: Console Edition","PlayStation 4",87,18,8.7,"ALTO",2019-10-11,"Action Adventure/Survival","Action Adventure",0,"metascore"
"Bloodborne: The Old Hunters","PlayStation 4",87,61,8.7,"ALTO",2015-11-24,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"XCOM 2","PlayStation 4",87,29,8.7,"ALTO",2016-09-27,"Strategy/Turn-Based/General/Tactics","Strategy",0,"metascore"
"Injustice 2","PlayStation 4",87,90,8.7,"ALTO",2017-05-16,"Action/Fighting/2D","Action",0,"metascore"
"The Witness","PlayStation 4",87,82,8.7,"ALTO",2016-01-26,"Miscellaneous/General/General/Puzzle/Puzzle/Adventure/3D/First-Person","Miscellaneous",0,"metascore"
"Dead Cells","PlayStation 4",87,31,8.7,"ALTO",2018-08-07,"Action/Platformer/2D","Action",0,"metascore"
"Sid Meier's Civilization VI","PlayStation 4",87,27,8.7,"ALTO",2019-11-22,"Strategy/Turn-Based/4X","Strategy",0,"metascore"
"Street Fighter V: Arcade Edition","PlayStation 4",87,36,8.7,"ALTO",2018-01-16,"Action/Fighting/2D","Action",1,"metascore"
"Night in the Woods","PlayStation 4",87,15,8.7,"ALTO",2017-02-21,"Fantasy/Action Adventure/Adventure/General","Fantasy",1,"metascore"
"Dragon Ball FighterZ","PlayStation 4",87,74,8.7,"ALTO",2018-01-26,"Action/Fighting/2D","Action",0,"metascore"
"Batman: Arkham Knight","PlayStation 4",87,89,8.7,"ALTO",2015-06-23,"General/Fantasy/Action Adventure/Open-World","General",0,"metascore"
"Marvel's Spider-Man","PlayStation 4",87,116,8.7,"ALTO",2018-09-07,"Action Adventure/Open-World","Action Adventure",1,"metascore"
"Okami HD","PlayStation 4",87,39,8.7,"ALTO",2017-12-12,"Action Adventure/General","Action Adventure",0,"metascore"
"TowerFall Ascension","PlayStation 4",87,31,8.7,"ALTO",2014-03-11,"Action/General","Action",0,"metascore"
"Monster Boy and the Cursed Kingdom","PlayStation 4",87,18,8.7,"ALTO",2018-12-04,"Action Adventure/General","Action Adventure",0,"metascore"
"FIFA 14","PlayStation 4",87,26,8.7,"ALTO",2013-11-12,"Sports/Traditional/Team/Soccer/Sim/Sim","Sports",0,"metascore"
"Pro Evolution Soccer 2016","PlayStation 4",87,54,8.7,"ALTO",2015-09-15,"Sports/Team/Soccer/Sim","Sports",0,"metascore"
"Zero Escape: The Nonary Games","PlayStation 4",87,10,8.7,"ALTO",2017-03-24,"Miscellaneous/Compilation","Miscellaneous",1,"metascore"
"Wolfenstein II: The New Colossus","PlayStation 4",87,70,8.7,"ALTO",2017-10-27,"Action/Shooter/First-Person/Arcade","Action",0,"metascore"
"Odin Sphere Leifthrasir","PlayStation 4",87,49,8.7,"ALTO",2016-06-07,"Role-Playing/Action RPG","Role-Playing",1,"metascore"
"Dark Souls II: Scholar of the First Sin","PlayStation 4",87,42,8.7,"ALTO",2015-04-07,"Role-Playing/Action RPG","Role-Playing",0,"metascore"
"Sonic Mania Plus","PlayStation 4",87,25,8.7,"ALTO",2018-07-17,"Action/Platformer/2D","Action",1,"metascore"
"NBA 2K16","PlayStation 4",87,51,8.7,"ALTO",2015-09-25,"Action/General/Sports/Team/Basketball/Sim","Action",0,"metascore"
"Fallout 4","PlayStation 4",87,58,8.7,"ALTO",2015-11-10,"General/Role-Playing/Western-Style","General",0,"metascore"
"Uncharted: The Nathan Drake Collection","PlayStation 4",86,78,8.6,"ALTO",2015-10-09,"Miscellaneous/Action Adventure/General/Compilation","Miscellaneous",1,"metascore"
"Tales from the Borderlands: A Telltale Game Series","PlayStation 4",86,8,8.6,"ALTO",2015-10-20,"Adventure/General","Adventure",1,"metascore"
"F1 2017","PlayStation 4",86,41,8.6,"ALTO",2017-08-25,"Racing/Simulation/Automobile","Racing",0,"metascore"
"Velocity 2X","PlayStation 4",86,38,8.6,"ALTO",2014-09-02,"Action/General/Shooter/Scrolling/Shoot-'Em-Up/Vertical","Action",1,"metascore"
"Stardew Valley","PlayStation 4",86,11,8.6,"ALTO",2016-12-13,"Role-Playing/General","Role-Playing",0,"metascore"
"Dragon Quest Builders 2","PlayStation 4",86,63,8.6,"ALTO",2019-07-12,"Role-Playing/General/Action Adventure/Sandbox","Role-Playing",1,"metascore"
"Steins;Gate Elite","PlayStation 4",86,22,8.6,"ALTO",2019-02-19,"Action/Adventure/General/Visual Novel","Action",1,"metascore"
"Thimbleweed Park","PlayStation 4",86,7,8.6,"ALTO",2017-08-22,"Adventure/Point-and-Click","Adventure",0,"metascore"
"Ni no Kuni: Wrath of the White Witch Remastered","PlayStation 4",86,31,8.6,"ALTO",2019-09-20,"Role-Playing/Japanese-Style","Role-Playing",1,"metascore"
"Guilty Gear Xrd -REVELATOR-","PlayStation 4",86,30,8.6,"ALTO",2016-06-07,"Action/Fighting/2D","Action",1,"metascore"
"Final Fantasy XII: The Zodiac Age","PlayStation 4",86,75,8.6,"ALTO",2017-07-11,"Role-Playing/Japanese-Style","Role-Playing",1,"metascore"
"Fell Seal: Arbiter's Mark","PlayStation 4",86,7,8.6,"ALTO",2019-04-30,"Strategy/Turn-Based/General/Tactics","Strategy",1,"metascore"
"Sonic Mania","PlayStation 4",86,70,8.6,"ALTO",2017-08-15,"Action/Platformer/2D","Action",0,"metascore"
"MLB The Show 19","PlayStation 4",86,31,8.6,"ALTO",2019-03-26,"Sports/Team/Baseball/Sim","Sports",1,"metascore"
"Resident Evil 7: biohazard","PlayStation 4",86,100,8.6,"ALTO",2017-01-24,"Action Adventure/Survival","Action Adventure",0,"metascore"
"Beat Saber","PlayStation 4",86,24,8.6,"ALTO",2018-11-20,"Action/General","Action",1,"metascore"
"Final Fantasy XIV: Heavensward","PlayStation 4",86,20,8.6,"ALTO",2015-06-23,"Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer","Massively Multiplayer Online",1,"metascore"
"Final Fantasy XIV Online: A Realm Reborn","PlayStation 4",86,35,8.6,"ALTO",2014-04-14,"Fantasy/Role-Playing/Massively Multiplayer Online/Massively Multiplayer/Fantasy","Fantasy",1,"metascore"
"Dragon Quest XI: Echoes of an Elusive Age","PlayStation 4",86,86,8.6,"ALTO",2018-09-04,"Role-Playing/Japanese-Style","Role-Playing",1,"metascore"
"Destiny: The Taken King","PlayStation 4",86,81,8.6,"ALTO",2015-09-15,"Action/Shooter/First-Person/Arcade","Action",0,"metascore"
"Guilty Gear Xrd: Rev 2","PlayStation 4",86,35,8.6,"ALTO",2017-05-26,"Action/Fighting/2D","Action",1,"metascore"
"OlliOlli2: Welcome to Olliwood","PlayStation 4",86,34,8.6,"ALTO",2015-03-03,"Sports/Alternative/Individual/Skateboarding/Skate / Skateboard","Sports",1,"metascore"
"Resogun: Heroes","PlayStation 4",86,10,8.6,"ALTO",2014-06-24,"Action/Shooter/Scrolling/Shoot-'Em-Up/Horizontal","Action",1,"metascore"
"DiRT Rally","PlayStation 4",85,46,8.5,"ALTO",2016-04-05,"Racing/Simulation/Automobile","Racing",0,"metascore"
"Crypt of the NecroDancer","PlayStation 4",85,8,8.5,"ALTO",2016-02-02,"Role-Playing/General/Action RPG","Role-Playing",1,"metascore"
"The Outer Worlds","PlayStation 4",85,77,8.5,"ALTO",2019-10-25,"Role-Playing/Western-Style","Role-Playing",0,"metascore"
"Battlefield 4","PlayStation 4",85,18,8.5,"ALTO",2013-11-12,"Action/Shooter/Shooter/First-Person/Modern/Modern/Arcade","Action",1,"metascore"
"Pillars of Eternity: Complete Edition","PlayStation 4",85,25,8.5,"ALTO",2017-08-29,"Role-Playing/Western-Style","Role-Playing",0,"metascore"
"DOOM","PlayStation 4",85,61,8.5,"ALTO",2016-05-13,"Sci-Fi/Third-Person/Action/Shooter/First-Person/Arcade","Sci-Fi",0,"metascore"
