"name","plataform","userscore","userscore_reviews","userscore_cat","release","genre","genero_principal","exclusivo","tipo_score"
"Mutant Year Zero: Road to Eden","PlayStation 4",7.7,84,"ALTO",2018-12-04,"Strategy/Turn-Based/Tactics","Strategy",0,"userscore"
"Borderlands: Game of the Year Edition","PlayStation 4",6.3,56,"MEDIO",2019-04-03,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"Samurai Warriors 4","PlayStation 4",7.6,97,"ALTO",2014-10-21,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"Klaus","PlayStation 4",7.2,33,"MEDIO",2016-01-19,"Action/Platformer/2D","Action",1,"userscore"
"Marvel's Spider-Man: The Heist","PlayStation 4",6.8,170,"MEDIO",2018-10-23,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"Heart&Slash","PlayStation 4",7.2,15,"MEDIO",2016-06-28,"Action/General","Action",0,"userscore"
"Victor Vran: Overkill Edition","PlayStation 4",7.2,22,"MEDIO",2017-05-30,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"The Flame in the Flood: Complete Edition","PlayStation 4",6.1,22,"MEDIO",2017-01-17,"Action Adventure/General/Survival","Action Adventure",1,"userscore"
"The Walking Dead: Michonne - Episode 3: What We Deserve","PlayStation 4",7.1,24,"MEDIO",2016-04-26,"Adventure/3D/Third-Person","Adventure",1,"userscore"
"JYDGE","PlayStation 4",6.6,10,"MEDIO",2017-10-03,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",1,"userscore"
"Evolve","PlayStation 4",4.3,928,"BAIXO",2015-02-10,"Sci-Fi/Action/Shooter/First-Person/Arcade","Sci-Fi",0,"userscore"
"Full Throttle Remastered","PlayStation 4",7.4,48,"MEDIO",2017-04-18,"Adventure/Point-and-Click","Adventure",1,"userscore"
"The Magic Circle: Gold Edition","PlayStation 4",7.1,8,"MEDIO",2016-04-26,"Adventure/3D/First-Person","Adventure",1,"userscore"
"Firewatch","PlayStation 4",6.8,620,"MEDIO",2016-02-09,"Adventure/3D/First-Person","Adventure",0,"userscore"
".hack//G.U. Last Recode","PlayStation 4",8.1,64,"ALTO",2017-11-03,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Watch Dogs: Bad Blood","PlayStation 4",7.3,86,"MEDIO",2014-09-30,"Action Adventure/General/Modern/Open-World","Action Adventure",1,"userscore"
"The Mummy Demastered","PlayStation 4",7.2,9,"MEDIO",2017-10-24,"Action/Platformer/2D","Action",1,"userscore"
"Infinite Minigolf","PlayStation 4",7.1,12,"MEDIO",2017-07-25,"Sports/Individual/Golf/Arcade","Sports",1,"userscore"
"The Escapists 2","PlayStation 4",6.7,15,"MEDIO",2017-08-22,"Action/General","Action",0,"userscore"
"Pure Pool","PlayStation 4",6.9,79,"MEDIO",2014-07-29,"Alternative/Other/Sports/Miscellaneous/Parlor/Individual/Billiards","Alternative",0,"userscore"
"Shadow of the Tomb Raider","PlayStation 4",7.4,1110,"MEDIO",2018-09-12,"Action Adventure/General","Action Adventure",0,"userscore"
"Devil May Cry 4: Special Edition","PlayStation 4",8.4,391,"ALTO",2015-06-23,"Fantasy/Action Adventure/General/Linear","Fantasy",0,"userscore"
"The Awesome Adventures of Captain Spirit","PlayStation 4",7.2,118,"MEDIO",2018-06-25,"Action Adventure/General","Action Adventure",0,"userscore"
"Resident Evil 7: biohazard - Banned Footage Vol. 1","PlayStation 4",6,42,"MEDIO",2017-01-31,"Action Adventure/Survival","Action Adventure",1,"userscore"
"Strike Vector EX","PlayStation 4",7,20,"MEDIO",2016-08-30,"Action/General/Shooter/First-Person/Arcade","Action",1,"userscore"
"SUPERHOT VR","PlayStation 4",7.6,99,"ALTO",2017-07-21,"Action/Shooter/First-Person/Tactical","Action",1,"userscore"
"The Surge 2","PlayStation 4",7.1,155,"MEDIO",2019-09-24,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Plants vs Zombies: Garden Warfare","PlayStation 4",7.6,311,"ALTO",2014-08-19,"Action/General/Shooter/Third-Person/Tactical","Action",0,"userscore"
"Resident Evil 7: biohazard - End of Zoe","PlayStation 4",7.6,63,"ALTO",2017-12-12,"Action Adventure/Survival","Action Adventure",1,"userscore"
"NHL 18","PlayStation 4",3.6,99,"BAIXO",2017-09-12,"Sports/Team/Ice Hockey/Sim","Sports",0,"userscore"
"Unruly Heroes","PlayStation 4",6.7,19,"MEDIO",2019-05-28,"Action/Platformer/2D","Action",0,"userscore"
"Saints Row IV: Re-Elected","PlayStation 4",7.3,152,"MEDIO",2015-01-20,"Action Adventure/Modern/Open-World","Action Adventure",0,"userscore"
"Just Dance 2018","PlayStation 4",5.8,18,"MEDIO",2017-10-24,"Action/Rhythm/Dancing","Action",1,"userscore"
"EA Sports UFC 3","PlayStation 4",4,255,"BAIXO",2018-01-30,"Sports/Individual/Combat/Boxing / Martial Arts","Sports",0,"userscore"
"The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running","PlayStation 4",7.2,57,"MEDIO",2018-08-14,"Adventure/Point-and-Click","Adventure",0,"userscore"
"Hohokum","PlayStation 4",6.4,100,"MEDIO",2014-08-12,"General/Adventure/General","General",1,"userscore"
"Sega Genesis Classics","PlayStation 4",7.4,50,"MEDIO",2018-05-29,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"Killing Floor 2","PlayStation 4",7.2,188,"MEDIO",2016-11-16,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Deus Ex: Mankind Divided - System Rift","PlayStation 4",6.4,17,"MEDIO",2016-09-27,"Action Adventure/General","Action Adventure",1,"userscore"
"The Golf Club 2019 featuring PGA Tour","PlayStation 4",6.6,35,"MEDIO",2018-08-28,"Sports/Individual/Golf/Sim","Sports",0,"userscore"
"ETHER One","PlayStation 4",4.7,97,"BAIXO",2015-05-05,"General/Adventure/3D/First-Person","General",1,"userscore"
"Remothered: Tormented Fathers","PlayStation 4",7.6,61,"ALTO",2018-07-25,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Metal Gear Solid V: Ground Zeroes","PlayStation 4",6.4,1454,"MEDIO",2014-03-18,"Action Adventure/General/Modern/Open-World","Action Adventure",0,"userscore"
"Deemo Reborn","PlayStation 4",7.6,31,"ALTO",2019-11-21,"Action/Rhythm/Music","Action",1,"userscore"
"Hitman - Episode 3: Marrakesh","PlayStation 4",7.2,57,"MEDIO",2016-05-31,"Action Adventure/General","Action Adventure",1,"userscore"
"Resident Evil: Revelations 2 - Episode 2: Contemplation","PlayStation 4",6.8,73,"MEDIO",2015-03-03,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Life is Strange 2: Episode 3 - Wastelands","PlayStation 4",5.3,55,"MEDIO",2019-05-09,"Action Adventure/General","Action Adventure",0,"userscore"
"Donut County","PlayStation 4",7,40,"MEDIO",2018-08-28,"Action Adventure/General","Action Adventure",1,"userscore"
"Etherborn","PlayStation 4",7.5,17,"ALTO",2019-07-18,"Adventure/3D/First-Person/Third-Person","Adventure",0,"userscore"
"Battle Chasers: Nightwar","PlayStation 4",6.7,77,"MEDIO",2017-10-03,"Role-Playing/Action RPG/Japanese-Style","Role-Playing",0,"userscore"
"Digimon Story Cyber Sleuth","PlayStation 4",8.1,413,"ALTO",2016-02-02,"Role-Playing/Japanese-Style/Trainer","Role-Playing",1,"userscore"
"Tempest 4000","PlayStation 4",4.8,14,"BAIXO",2018-07-17,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",0,"userscore"
"The Long Dark","PlayStation 4",6.7,60,"MEDIO",2017-08-01,"Simulation/Action Adventure/General/Survival","Simulation",0,"userscore"
"Gran Turismo Sport","PlayStation 4",6,1618,"MEDIO",2017-10-17,"Racing/Simulation/Automobile","Racing",1,"userscore"
"Fallout 4: Far Harbor","PlayStation 4",6.5,195,"MEDIO",2016-05-19,"Role-Playing/Western-Style","Role-Playing",0,"userscore"
"Bulletstorm: Full Clip Edition","PlayStation 4",7.1,138,"MEDIO",2017-04-07,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Stikbold! A Dodgeball Adventure","PlayStation 4",7,21,"MEDIO",2016-04-05,"Action/Arcade","Action",1,"userscore"
"Atelier Sophie: The Alchemist of the Mysterious Book","PlayStation 4",7.8,79,"ALTO",2016-06-07,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Life is Strange: Episode 1 - Chrysalis","PlayStation 4",8.2,519,"ALTO",2015-01-30,"Action Adventure/General","Action Adventure",0,"userscore"
"The Council - Episode 4: Burning Bridges","PlayStation 4",6.1,14,"MEDIO",2018-09-25,"Adventure/General","Adventure",1,"userscore"
"ONRUSH","PlayStation 4",6,170,"MEDIO",2018-06-05,"Racing/Arcade/Automobile","Racing",0,"userscore"
"The Council - Episode 1: The Mad Ones","PlayStation 4",7.5,42,"ALTO",2018-03-13,"Adventure/General","Adventure",0,"userscore"
"Last Day of June","PlayStation 4",7.2,40,"MEDIO",2017-08-31,"Adventure/General/3D/Third-Person","Adventure",1,"userscore"
"Fate/Extella Link","PlayStation 4",6.7,44,"MEDIO",2019-03-19,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"Dragon Star Varnir","PlayStation 4",7.1,34,"MEDIO",2019-06-11,"Role-Playing/Action Adventure/General/Japanese-Style","Role-Playing",1,"userscore"
"Atelier Ryza: Ever Darkness & the Secret Hideout","PlayStation 4",8,73,"ALTO",2019-10-29,"General/Role-Playing/Japanese-Style","General",1,"userscore"
"Labyrinth of Refrain: Coven of Dusk","PlayStation 4",7,22,"MEDIO",2018-09-18,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Ken Follett's The Pillars of the Earth","PlayStation 4",6.8,17,"MEDIO",2017-09-12,"Adventure/Visual Novel","Adventure",0,"userscore"
"Utawarerumono: Mask of Truth","PlayStation 4",8.2,35,"ALTO",2017-09-05,"Strategy/Turn-Based/General","Strategy",1,"userscore"
"Ittle Dew 2","PlayStation 4",6,6,"MEDIO",2016-11-15,"Role-Playing/Action Adventure/General/Action RPG","Role-Playing",1,"userscore"
"Shantae and the Pirate's Curse","PlayStation 4",7.5,40,"ALTO",2016-04-09,"Action/Platformer/2D","Action",0,"userscore"
"Stick it to the Man!","PlayStation 4",6.8,240,"MEDIO",2014-05-06,"Action/Platformer/3D","Action",1,"userscore"
"Crossing Souls","PlayStation 4",6.9,35,"MEDIO",2018-02-13,"Action Adventure/General","Action Adventure",1,"userscore"
"The Evil Within","PlayStation 4",7.5,1705,"ALTO",2014-10-14,"Horror/Action Adventure/Horror/Survival","Horror",0,"userscore"
"The Elder Scrolls Online: Morrowind","PlayStation 4",6.3,50,"MEDIO",2017-06-06,"Role-Playing/Massively Multiplayer","Role-Playing",0,"userscore"
"RIVE","PlayStation 4",7,20,"MEDIO",2016-09-13,"Action/Platformer/2D","Action",1,"userscore"
"Resident Evil: Revelations 2 - Episode 1: Penal Colony","PlayStation 4",7.1,118,"MEDIO",2015-02-24,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Concrete Genie","PlayStation 4",8.3,299,"ALTO",2019-10-08,"Adventure/3D/Third-Person","Adventure",1,"userscore"
"Persona Dancing: Endless Night Collection","PlayStation 4",6.8,20,"MEDIO",2018-12-04,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Valentino Rossi The Game","PlayStation 4",7.4,63,"MEDIO",2016-06-17,"Racing/Simulation/Automobile","Racing",1,"userscore"
"Star Trek: Bridge Crew","PlayStation 4",7,63,"MEDIO",2017-05-30,"Action Adventure/General","Action Adventure",1,"userscore"
"Attack on Titan 2","PlayStation 4",7.4,65,"MEDIO",2018-03-20,"Action/General","Action",0,"userscore"
"Tokyo Xanadu eX+","PlayStation 4",7.8,51,"ALTO",2017-12-08,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Push Me Pull You","PlayStation 4",6.6,8,"MEDIO",2016-05-03,"Sports/General","Sports",1,"userscore"
"Game of Thrones: Episode Six - The Ice Dragon","PlayStation 4",6.7,48,"MEDIO",2015-11-17,"Action/General/Adventure/Point-and-Click","Action",0,"userscore"
"The Ninja Saviors: Return of the Warriors","PlayStation 4",6.8,13,"MEDIO",2019-10-15,"Action/Beat-'Em-Up/2D","Action",1,"userscore"
"My Time At Portia","PlayStation 4",5.1,39,"MEDIO",2019-04-16,"Simulation/Virtual/Virtual Life","Simulation",0,"userscore"
"Hotline Miami 2: Wrong Number","PlayStation 4",7.7,186,"ALTO",2015-03-10,"General/Action/Action Adventure/General/Linear","General",1,"userscore"
"The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back","PlayStation 4",7.4,31,"MEDIO",2019-03-26,"Adventure/Point-and-Click","Adventure",1,"userscore"
"The Evil Within: The Consequence","PlayStation 4",7.8,97,"ALTO",2015-04-21,"Action Adventure/Survival","Action Adventure",1,"userscore"
"Marvel's Spider-Man: Silver Lining","PlayStation 4",7.1,109,"MEDIO",2018-12-21,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"Shenmue I & II","PlayStation 4",8.3,262,"ALTO",2018-08-21,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"Resident Evil: Revelations 2 - Episode 4: Metamorphosis","PlayStation 4",6.7,41,"MEDIO",2015-03-17,"Action Adventure/Survival","Action Adventure",0,"userscore"
"Unmechanical: Extended Edition","PlayStation 4",6.6,36,"MEDIO",2015-02-10,"Action/Puzzle/General/Platformer/2D","Action",0,"userscore"
"Observation","PlayStation 4",6.3,66,"MEDIO",2019-05-21,"Adventure/General","Adventure",1,"userscore"
"Attack on Titan 2: Final Battle","PlayStation 4",4.9,19,"BAIXO",2019-07-05,"Action/General","Action",0,"userscore"
"The Gardens Between","PlayStation 4",5.1,12,"MEDIO",2018-09-20,"Adventure/General","Adventure",0,"userscore"
"Reus","PlayStation 4",4.1,7,"BAIXO",2016-10-11,"Strategy/General","Strategy",1,"userscore"
"Resident Evil: Revelations 2","PlayStation 4",7.7,465,"ALTO",2015-03-17,"Horror/Action Adventure/Survival","Horror",0,"userscore"
"Dead or Alive 5 Last Round","PlayStation 4",7.3,221,"MEDIO",2015-02-17,"Action/Fighting/3D","Action",0,"userscore"
"Anomaly 2","PlayStation 4",6.9,16,"MEDIO",2014-09-16,"Strategy/Real-Time/Sci-Fi/General","Strategy",1,"userscore"
"Lara Croft and the Temple of Osiris","PlayStation 4",6.5,170,"MEDIO",2014-12-09,"Action/Action Adventure/Platformer/Linear/2D","Action",0,"userscore"
"Batman: Arkham VR","PlayStation 4",7.2,179,"MEDIO",2016-10-11,"Action/General","Action",1,"userscore"
"Dead Nation: Apocalypse Edition","PlayStation 4",7.1,406,"MEDIO",2014-03-04,"Action/Shooter/Third-Person/Shoot-'Em-Up/Modern/Top-Down","Action",1,"userscore"
"Romancing SaGa 3","PlayStation 4",6,21,"MEDIO",2019-11-11,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"LEGO DC Super-Villains","PlayStation 4",7.1,35,"MEDIO",2018-10-16,"Action Adventure/General","Action Adventure",0,"userscore"
"Call of Duty: Black Ops III - Eclipse","PlayStation 4",3.6,20,"BAIXO",2016-04-19,"Action/Shooter/First-Person/Arcade","Action",1,"userscore"
"Everybody's Golf VR","PlayStation 4",7.8,68,"ALTO",2019-05-21,"Sports/Individual/Golf/Arcade","Sports",1,"userscore"
"Adventures of Pip","PlayStation 4",6.8,6,"MEDIO",2015-08-18,"Action/Platformer/2D","Action",1,"userscore"
"Awesomenauts Assemble!","PlayStation 4",7,84,"MEDIO",2014-03-04,"Strategy/Real-Time/MOBA","Strategy",0,"userscore"
"SuperHyperCube","PlayStation 4",6.1,21,"MEDIO",2016-10-13,"Puzzle/General","Puzzle",1,"userscore"
"Castlevania Anniversary Collection","PlayStation 4",5.1,30,"MEDIO",2019-05-16,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"CastleStorm: Definitive Edition","PlayStation 4",5.9,19,"MEDIO",2014-09-23,"Strategy/General","Strategy",1,"userscore"
"Far Cry 4: Valley of the Yetis","PlayStation 4",7.1,47,"MEDIO",2015-03-10,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Rad","PlayStation 4",6.7,26,"MEDIO",2019-08-20,"Adventure/Action Adventure/General","Adventure",0,"userscore"
"Stealth Inc 2: A Game of Clones","PlayStation 4",7,26,"MEDIO",2015-04-07,"Action/Platformer/2D","Action",0,"userscore"
"Sniper Elite III: Ultimate Edition","PlayStation 4",6.8,41,"MEDIO",2015-03-10,"Action/Shooter/Third-Person/Tactical","Action",1,"userscore"
"Neverwinter","PlayStation 4",6.6,105,"MEDIO",2016-07-19,"Role-Playing/Massively Multiplayer","Role-Playing",0,"userscore"
"Masters of Anima","PlayStation 4",4.7,14,"BAIXO",2018-04-10,"Strategy/Real-Time/MOBA","Strategy",1,"userscore"
"Madden NFL 25","PlayStation 4",5.2,125,"MEDIO",2013-11-12,"Sports/Traditional/Team/Football/Arcade/Arcade/Sim","Sports",0,"userscore"
"Omensight","PlayStation 4",7,25,"MEDIO",2018-05-15,"Adventure/3D/First-Person","Adventure",1,"userscore"
"I Am Setsuna","PlayStation 4",7.4,190,"MEDIO",2016-07-19,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Not a Hero","PlayStation 4",6.4,54,"MEDIO",2016-02-02,"General/Action/Platformer/Shooter/2D/Shoot-'Em-Up/Horizontal","General",1,"userscore"
"Nobunaga's Ambition: Sphere of Influence - Ascension","PlayStation 4",7.1,11,"MEDIO",2016-10-25,"Strategy/Turn-Based/General","Strategy",1,"userscore"
"Ancestors Legacy","PlayStation 4",7.2,22,"MEDIO",2019-08-13,"Strategy/Real-Time/General/Command","Strategy",1,"userscore"
"Super Stardust Ultra","PlayStation 4",7.1,32,"MEDIO",2015-02-10,"Action/Shooter/Shoot-'Em-Up/Top-Down","Action",1,"userscore"
"Layers of Fear","PlayStation 4",7.2,151,"MEDIO",2016-02-16,"Adventure/3D/First-Person","Adventure",0,"userscore"
"Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings","PlayStation 4",6.6,31,"MEDIO",2018-03-27,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"ChromaGun","PlayStation 4",6,6,"MEDIO",2017-08-22,"Action/Shooter/First-Person/Arcade","Action",1,"userscore"
"Pinball FX 2: Star Wars Pinball - Rogue One","PlayStation 4",3.5,6,"BAIXO",2017-01-31,"Action/Pinball","Action",1,"userscore"
"Toukiden: Kiwami","PlayStation 4",7.4,87,"MEDIO",2015-03-31,"Action/General","Action",1,"userscore"
"God Wars: Future Past","PlayStation 4",6.7,31,"MEDIO",2017-03-28,"Strategy/Turn-Based/Tactics","Strategy",1,"userscore"
"One Piece: Pirate Warriors 3","PlayStation 4",7.7,163,"ALTO",2015-08-25,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"Castlevania Requiem: Symphony of the Night & Rondo of Blood","PlayStation 4",7.3,61,"MEDIO",2018-10-26,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Call of Duty: Black Ops III - Awakening","PlayStation 4",5.4,46,"MEDIO",2016-02-02,"Action/Shooter/First-Person/Arcade","Action",1,"userscore"
"Costume Quest 2","PlayStation 4",6.8,36,"MEDIO",2014-10-28,"Role-Playing/Action RPG/Japanese-Style","Role-Playing",1,"userscore"
"Dying Light","PlayStation 4",7.9,1577,"ALTO",2015-01-27,"Horror/Action Adventure/Horror/Survival","Horror",0,"userscore"
"Grow Home","PlayStation 4",6.1,160,"MEDIO",2015-09-01,"Action Adventure/Sandbox/Open-World","Action Adventure",1,"userscore"
"Samurai Warriors: Spirit of Sanada","PlayStation 4",6.9,17,"MEDIO",2017-05-23,"Action/Beat-'Em-Up/3D","Action",1,"userscore"
"Lapis x Labyrinth","PlayStation 4",4.8,12,"BAIXO",2019-05-28,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Chroma Squad","PlayStation 4",6.7,9,"MEDIO",2017-05-19,"Strategy/Turn-Based/Tactics","Strategy",1,"userscore"
"Sky Force Reloaded","PlayStation 4",7.7,23,"ALTO",2017-11-28,"Action/Shooter/Shoot-'Em-Up/Vertical","Action",0,"userscore"
"Amplitude","PlayStation 4",7.2,46,"MEDIO",2016-01-05,"Miscellaneous/Action/Rhythm/Music","Miscellaneous",1,"userscore"
"Wild Guns Reloaded","PlayStation 4",6.1,15,"MEDIO",2016-12-20,"Action/Platformer/Shooter/2D/Light Gun","Action",1,"userscore"
"Attack on Titan","PlayStation 4",7,128,"MEDIO",2016-08-30,"Action/Beat-'Em-Up/3D","Action",0,"userscore"
"198X","PlayStation 4",5.9,15,"MEDIO",2019-07-16,"Action/Miscellaneous/Platformer/Party / Minigame/2D","Action",1,"userscore"
"Atelier Firis: The Alchemist and the Mysterious Journey","PlayStation 4",7.1,47,"MEDIO",2017-03-07,"Role-Playing/Japanese-Style","Role-Playing",1,"userscore"
"Contra Anniversary Collection","PlayStation 4",6,28,"MEDIO",2019-06-11,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Batman: The Telltale Series - Episode 3: New World Order","PlayStation 4",6.9,32,"MEDIO",2016-10-25,"Adventure/Point-and-Click","Adventure",0,"userscore"
"Neverending Nightmares","PlayStation 4",7,26,"MEDIO",2016-05-03,"Action Adventure/Survival","Action Adventure",1,"userscore"
"Shantae: Risky's Revenge - Director's Cut","PlayStation 4",7.4,33,"MEDIO",2015-06-23,"Action/Platformer/2D","Action",1,"userscore"
"Sparc","PlayStation 4",7,31,"MEDIO",2017-08-29,"Sports/Team/Futuristic","Sports",1,"userscore"
"The Swords of Ditto","PlayStation 4",6.1,41,"MEDIO",2018-04-24,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"The Elder Scrolls Online: Tamriel Unlimited","PlayStation 4",7.6,972,"ALTO",2015-06-09,"First-Person/First-Person/Massively Multiplayer Online/Fantasy/Role-Playing/Massively Multiplayer","First-Person",0,"userscore"
"Armello","PlayStation 4",7.1,50,"MEDIO",2015-09-01,"Miscellaneous/Board / Card Game","Miscellaneous",1,"userscore"
"The Elder Scrolls Online: Elsweyr","PlayStation 4",4.9,14,"BAIXO",2019-06-04,"Role-Playing/Massively Multiplayer","Role-Playing",1,"userscore"
"SNK 40th Anniversary Collection","PlayStation 4",6.4,10,"MEDIO",2019-03-19,"Miscellaneous/Compilation","Miscellaneous",0,"userscore"
"The Council","PlayStation 4",7.4,67,"MEDIO",2018-03-13,"Adventure/General","Adventure",1,"userscore"
"Cat Quest","PlayStation 4",7.6,46,"ALTO",2017-11-14,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Batman: The Telltale Series - Episode 4: Guardian of Gotham","PlayStation 4",6.2,24,"MEDIO",2016-11-22,"Adventure/Point-and-Click","Adventure",0,"userscore"
"Sherlock Holmes: Crimes & Punishments","PlayStation 4",7.1,228,"MEDIO",2014-09-30,"Adventure/General","Adventure",0,"userscore"
"NBA Live 19","PlayStation 4",6.3,74,"MEDIO",2018-09-07,"Sports/Team/Basketball/Sim","Sports",0,"userscore"
"Killzone: Shadow Fall","PlayStation 4",6.8,2360,"MEDIO",2013-11-15,"Shooter/Sci-Fi/Action/Shooter/First-Person/Sci-Fi/Arcade","Shooter",1,"userscore"
"Battlefield Hardline","PlayStation 4",5.2,982,"MEDIO",2015-03-17,"Modern/Action/Shooter/First-Person/Tactical/Arcade","Modern",0,"userscore"
"Just Dance 2017","PlayStation 4",6.5,11,"MEDIO",2016-10-25,"Action/Rhythm/Dancing","Action",0,"userscore"
"Battlefield V","PlayStation 4",2.3,2561,"BAIXO",2018-11-15,"Action/Shooter/First-Person/Tactical","Action",0,"userscore"
"Phantom Doctrine","PlayStation 4",6.8,37,"MEDIO",2018-08-14,"Strategy/Turn-Based/General","Strategy",1,"userscore"
"Assassin's Creed Origins: The Hidden Ones","PlayStation 4",6.8,93,"MEDIO",2018-01-23,"Action Adventure/Open-World","Action Adventure",1,"userscore"
"Just Dance 2016","PlayStation 4",5.8,26,"MEDIO",2015-10-20,"Action/Rhythm/Dancing","Action",0,"userscore"
"Life is Strange 2: Episode 2 - Rules","PlayStation 4",4.9,71,"BAIXO",2019-01-24,"Action Adventure/General","Action Adventure",0,"userscore"
"Pure Hold 'Em","PlayStation 4",3.9,16,"BAIXO",2015-08-18,"Miscellaneous/Gambling","Miscellaneous",1,"userscore"
"Call of Duty: WWII - The War Machine","PlayStation 4",1.6,23,"BAIXO",2018-04-10,"Action/Shooter/First-Person/Arcade","Action",1,"userscore"
"Onimusha: Warlords","PlayStation 4",6.5,74,"MEDIO",2019-01-15,"Action Adventure/General","Action Adventure",0,"userscore"
"Lumo","PlayStation 4",5.6,37,"MEDIO",2016-05-24,"Action/Adventure/General/Platformer/3D","Action",1,"userscore"
"Cricket 19","PlayStation 4",8,39,"ALTO",2019-05-29,"Sports/Team/Cricket","Sports",1,"userscore"
"Shio","PlayStation 4",5,4,"MEDIO",2018-05-22,"Action/Platformer/2D","Action",1,"userscore"
"Titan Souls","PlayStation 4",6.7,98,"MEDIO",2015-04-14,"Action/General","Action",1,"userscore"
"Escape Plan","PlayStation 4",6.7,98,"MEDIO",2013-12-03,"Miscellaneous/Puzzle/Action/General/Puzzle/General","Miscellaneous",1,"userscore"
"Persona 3: Dancing in Moonlight","PlayStation 4",5.8,60,"MEDIO",2018-12-04,"Action/Rhythm/Music","Action",1,"userscore"
"Ashes Cricket","PlayStation 4",7.5,47,"ALTO",2017-11-16,"Sports/Team/Cricket","Sports",1,"userscore"
"World to the West","PlayStation 4",5.7,6,"MEDIO",2017-05-05,"Action Adventure/Linear","Action Adventure",1,"userscore"
"The Swindle","PlayStation 4",6,29,"MEDIO",2015-07-28,"Action/Platformer/3D","Action",1,"userscore"
"Action Henk","PlayStation 4",5.6,14,"MEDIO",2016-03-08,"Action/Platformer/2D/3D","Action",1,"userscore"
"Batman: Return to Arkham","PlayStation 4",8.2,288,"ALTO",2016-10-18,"Miscellaneous/Compilation","Miscellaneous",1,"userscore"
"Never Alone","PlayStation 4",6.6,216,"MEDIO",2014-11-18,"Action/Platformer/2D","Action",0,"userscore"
"GRID","PlayStation 4",5.8,80,"MEDIO",2019-10-11,"Racing/Simulation/Automobile","Racing",0,"userscore"
"Just Cause 3","PlayStation 4",6.4,707,"MEDIO",2015-12-01,"Sci-Fi/Action Adventure/Open-World","Sci-Fi",0,"userscore"
"The Crew: Wild Run","PlayStation 4",6.5,59,"MEDIO",2015-11-17,"Racing/Simulation/Automobile","Racing",1,"userscore"
"MotoGP 14","PlayStation 4",6.3,28,"MEDIO",2014-11-04,"Driving/Racing/Simulation/Motorcycle/Automobile/Street","Driving",1,"userscore"
"Futuridium EP Deluxe","PlayStation 4",5.6,38,"MEDIO",2014-09-30,"Action/Shooter/Rail","Action",1,"userscore"
"Stories: The Path of Destinies","PlayStation 4",7.2,125,"MEDIO",2016-04-12,"Role-Playing/Action RPG","Role-Playing",1,"userscore"
"Vaporum","PlayStation 4",4.2,13,"BAIXO",2019-04-09,"Role-Playing/Action RPG","Role-Playing",0,"userscore"
"Mages of Mystralia","PlayStation 4",7.2,6,"MEDIO",2017-08-22,"Action Adventure/General/Linear","Action Adventure",1,"userscore"
"Minecraft: Story Mode - Episode 3: The Last Place You Look","PlayStation 4",4.9,31,"BAIXO",2015-11-24,"Action Adventure/Adventure/General/Point-and-Click/Linear","Action Adventure",0,"userscore"
"Strange Brigade","PlayStation 4",6.1,45,"MEDIO",2018-08-28,"Action/Shooter/Third-Person/Arcade","Action",0,"userscore"
"Destiny 2: Shadowkeep","PlayStation 4",5.6,89,"MEDIO",2019-10-01,"Action/Shooter/First-Person/Arcade","Action",0,"userscore"
"Surviving Mars","PlayStation 4",6.2,31,"MEDIO",2018-03-15,"Strategy/Management/Government","Strategy",0,"userscore"
