"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Marvel's Spider-Man","PlayStation 4",87,116,8.7,6229,2018-09-07,"Action Adventure/Open-World","Action Adventure",8.7,"ALTO","ALTO",0,0,1
"Zero Escape: The Nonary Games","PlayStation 4",87,10,8.2,104,2017-03-24,"Miscellaneous/Compilation","Miscellaneous",8.7,"ALTO","ALTO",0.5,0.5,1
"Odin Sphere Leifthrasir","PlayStation 4",87,49,8.2,269,2016-06-07,"Role-Playing/Action RPG","Role-Playing",8.7,"ALTO","ALTO",0.5,0.5,1
"Sonic Mania Plus","PlayStation 4",87,25,7.7,160,2018-07-17,"Action/Platformer/2D","Action",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,1
"Uncharted: The Nathan Drake Collection","PlayStation 4",86,78,8.6,2700,2015-10-09,"Miscellaneous/Action Adventure/General/Compilation","Miscellaneous",8.6,"ALTO","ALTO",0,0,1
"Tales from the Borderlands: A Telltale Game Series","PlayStation 4",86,8,8.1,521,2015-10-20,"Adventure/General","Adventure",8.6,"ALTO","ALTO",0.5,0.5,1
"Velocity 2X","PlayStation 4",86,38,6.9,327,2014-09-02,"Action/General/Shooter/Scrolling/Shoot-'Em-Up/Vertical","Action",8.6,"ALTO","MEDIO",1.7,1.7,1
"Dragon Quest Builders 2","PlayStation 4",86,63,7.7,96,2019-07-12,"Role-Playing/General/Action Adventure/Sandbox","Role-Playing",8.6,"ALTO","ALTO",0.899999999999999,0.899999999999999,1
"Steins;Gate Elite","PlayStation 4",86,22,7.3,56,2019-02-19,"Action/Adventure/General/Visual Novel","Action",8.6,"ALTO","MEDIO",1.3,1.3,1
"Ni no Kuni: Wrath of the White Witch Remastered","PlayStation 4",86,31,8.2,142,2019-09-20,"Role-Playing/Japanese-Style","Role-Playing",8.6,"ALTO","ALTO",0.4,0.4,1
