"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Monster Boy and the Cursed Kingdom","PlayStation 4",87,18,8,72,2018-12-04,"Action Adventure/General","Action Adventure",8.7,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"FIFA 14","PlayStation 4",87,26,6.3,709,2013-11-12,"Sports/Traditional/Team/Soccer/Sim/Sim","Sports",8.7,"ALTO","MEDIO",2.4,2.4,0
"Pro Evolution Soccer 2016","PlayStation 4",87,54,7.2,713,2015-09-15,"Sports/Team/Soccer/Sim","Sports",8.7,"ALTO","MEDIO",1.5,1.5,0
"Wolfenstein II: The New Colossus","PlayStation 4",87,70,7.3,1299,2017-10-27,"Action/Shooter/First-Person/Arcade","Action",8.7,"ALTO","MEDIO",1.4,1.4,0
"Dark Souls II: Scholar of the First Sin","PlayStation 4",87,42,7.9,1071,2015-04-07,"Role-Playing/Action RPG","Role-Playing",8.7,"ALTO","ALTO",0.799999999999999,0.799999999999999,0
"NBA 2K16","PlayStation 4",87,51,6.7,436,2015-09-25,"Action/General/Sports/Team/Basketball/Sim","Action",8.7,"ALTO","MEDIO",2,2,0
"Fallout 4","PlayStation 4",87,58,6.7,5458,2015-11-10,"General/Role-Playing/Western-Style","General",8.7,"ALTO","MEDIO",2,2,0
"F1 2017","PlayStation 4",86,41,7.5,87,2017-08-25,"Racing/Simulation/Automobile","Racing",8.6,"ALTO","ALTO",1.1,1.1,0
"Stardew Valley","PlayStation 4",86,11,7.9,215,2016-12-13,"Role-Playing/General","Role-Playing",8.6,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Thimbleweed Park","PlayStation 4",86,7,7.6,51,2017-08-22,"Adventure/Point-and-Click","Adventure",8.6,"ALTO","ALTO",1,1,0
"Sonic Mania","PlayStation 4",86,70,8,632,2017-08-15,"Action/Platformer/2D","Action",8.6,"ALTO","ALTO",0.6,0.6,0
"Resident Evil 7: biohazard","PlayStation 4",86,100,8,3009,2017-01-24,"Action Adventure/Survival","Action Adventure",8.6,"ALTO","ALTO",0.6,0.6,0
"Destiny: The Taken King","PlayStation 4",86,81,6.2,1098,2015-09-15,"Action/Shooter/First-Person/Arcade","Action",8.6,"ALTO","MEDIO",2.4,2.4,0
"DiRT Rally","PlayStation 4",85,46,7.9,289,2016-04-05,"Racing/Simulation/Automobile","Racing",8.5,"ALTO","ALTO",0.6,0.6,0
"The Outer Worlds","PlayStation 4",85,77,8,1351,2019-10-25,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","ALTO",0.5,0.5,0
"Pillars of Eternity: Complete Edition","PlayStation 4",85,25,7.4,112,2017-08-29,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","MEDIO",1.1,1.1,0
"DOOM","PlayStation 4",85,61,8.4,2326,2016-05-13,"Sci-Fi/Third-Person/Action/Shooter/First-Person/Arcade","Sci-Fi",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"NBA 2K14","PlayStation 4",85,20,6.5,385,2013-11-12,"Sports/Traditional/Team/Basketball/Sim/Sim","Sports",8.5,"ALTO","MEDIO",2,2,0
"Rocket League","PlayStation 4",85,50,8.4,1768,2015-07-07,"Racing/Futuristic/Sports/Team/Soccer/Arcade","Racing",8.5,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"Pro Evolution Soccer 2017","PlayStation 4",85,62,7.3,610,2016-09-13,"Sports/Team/Soccer/Sim","Sports",8.5,"ALTO","MEDIO",1.2,1.2,0
"Destiny 2","PlayStation 4",85,95,5,2380,2017-09-06,"Action/Shooter/First-Person/Arcade","Action",8.5,"ALTO","MEDIO",3.5,3.5,0
"Assault Android Cactus","PlayStation 4",85,20,6.3,43,2016-03-08,"General/Scrolling/Action/Shooter/Shoot-'Em-Up/Top-Down","General",8.5,"ALTO","MEDIO",2.2,2.2,0
"Geometry Wars 3: Dimensions","PlayStation 4",85,25,7.4,90,2014-11-25,"Action/Shooter/Static/Shoot-'Em-Up/Top-Down","Action",8.5,"ALTO","MEDIO",1.1,1.1,0
"Far Cry 4","PlayStation 4",85,83,7.7,2209,2014-11-18,"Action/Shooter/First-Person/Modern/Arcade","Action",8.5,"ALTO","ALTO",0.8,0.8,0
"Tomb Raider: Definitive Edition","PlayStation 4",85,54,8.1,1614,2014-01-28,"Modern/Action Adventure/General/Modern/Linear","Modern",8.5,"ALTO","ALTO",0.4,0.4,0
"FIFA 17","PlayStation 4",85,42,4.9,883,2016-09-27,"Sports/Team/Soccer/Sim","Sports",8.5,"ALTO","BAIXO",3.6,3.6,0
"DiRT 4","PlayStation 4",85,44,7.5,168,2017-06-06,"Racing/Simulation/Automobile","Racing",8.5,"ALTO","ALTO",1,1,0
"F1 2018","PlayStation 4",84,41,7.8,93,2018-08-24,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","ALTO",0.600000000000001,0.600000000000001,0
"Middle-earth: Shadow of Mordor","PlayStation 4",84,85,8,2421,2014-09-30,"Fantasy/Action Adventure/Fantasy/Open-World","Fantasy",8.4,"ALTO","ALTO",0.4,0.4,0
"Salt and Sanctuary","PlayStation 4",84,56,8.1,367,2016-03-15,"Action/Platformer/2D","Action",8.4,"ALTO","ALTO",0.300000000000001,0.300000000000001,0
"Dark Souls Remastered","PlayStation 4",84,53,7.6,812,2018-05-25,"Role-Playing/Action RPG","Role-Playing",8.4,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"DiRT Rally 2.0","PlayStation 4",84,34,5.7,155,2019-02-26,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","MEDIO",2.7,2.7,0
"Deus Ex: Mankind Divided","PlayStation 4",84,59,7.6,958,2016-08-23,"Action Adventure/General","Action Adventure",8.4,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Thumper","PlayStation 4",84,40,7.3,100,2016-10-10,"Action/Rhythm/Music","Action",8.4,"ALTO","MEDIO",1.1,1.1,0
"Wargroove","PlayStation 4",84,11,5.7,42,2019-07-23,"Strategy/Turn-Based/Tactics","Strategy",8.4,"ALTO","MEDIO",2.7,2.7,0
"SoulCalibur VI","PlayStation 4",84,78,6.5,318,2018-10-19,"Action/Fighting/3D","Action",8.4,"ALTO","MEDIO",1.9,1.9,0
"F1 2019","PlayStation 4",84,43,7.6,96,2019-06-25,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Hitman - Episode 2: Sapienza","PlayStation 4",84,37,7,124,2016-04-26,"Action Adventure/General","Action Adventure",8.4,"ALTO","MEDIO",1.4,1.4,0
"BioShock: The Collection","PlayStation 4",84,39,8.5,638,2016-09-13,"Action/Miscellaneous/Shooter/Compilation/First-Person/Arcade","Action",8.4,"ALTO","ALTO",-0.0999999999999996,0.0999999999999996,0
"FIFA 18","PlayStation 4",84,68,3.5,1041,2017-09-26,"Sports/Team/Soccer/Sim","Sports",8.4,"ALTO","BAIXO",4.9,4.9,0
"Final Fantasy X / X-2 HD Remaster","PlayStation 4",84,30,8.3,589,2015-05-12,"Miscellaneous/Compilation","Miscellaneous",8.4,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"DmC: Devil May Cry Definitive Edition","PlayStation 4",83,53,7.6,674,2015-03-10,"Fantasy/Action Adventure/General/Linear","Fantasy",8.3,"ALTO","ALTO",0.700000000000001,0.700000000000001,0
"Pro Evolution Soccer 2018","PlayStation 4",83,53,7.2,345,2017-09-12,"Sports/Team/Soccer/Sim","Sports",8.3,"ALTO","MEDIO",1.1,1.1,0
