"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Middle-earth: Shadow of Mordor","Xbox One",87,12,7.9,709,2014-09-30,"Fantasy/Action Adventure/Fantasy/Open-World","Fantasy",8.7,"ALTO","ALTO",0.799999999999999,0.799999999999999,0
"DOOM","Xbox One",87,25,8.5,827,2016-05-13,"Sci-Fi/Action/Shooter/First-Person/Third-Person/Arcade","Sci-Fi",8.7,"ALTO","ALTO",0.199999999999999,0.199999999999999,0
"Battlefield 1","Xbox One",87,39,7.6,704,2016-10-18,"Action/General/Shooter/First-Person/Tactical","Action",8.7,"ALTO","ALTO",1.1,1.1,0
"Dark Souls III","Xbox One",87,14,8.6,695,2016-04-12,"Role-Playing/Action RPG","Role-Playing",8.7,"ALTO","ALTO",0.0999999999999996,0.0999999999999996,0
"Assassin's Creed Odyssey","Xbox One",87,34,6.1,726,2018-10-02,"Action Adventure/Open-World","Action Adventure",8.7,"ALTO","MEDIO",2.6,2.6,0
"Forza Motorsport 6","Xbox One",87,85,7.7,887,2015-09-15,"Driving/GT / Street/Racing/Simulation/Automobile","Driving",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,1
"Rocket League","Xbox One",87,22,8,304,2016-02-17,"Sports/Team/Soccer/Arcade","Sports",8.7,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Pro Evolution Soccer 2017","Xbox One",87,12,5.9,99,2016-09-13,"Sports/Team/Soccer/Sim","Sports",8.7,"ALTO","MEDIO",2.8,2.8,0
"Titanfall 2","Xbox One",87,32,8.3,520,2016-10-28,"Action/Shooter/First-Person/Arcade","Action",8.7,"ALTO","ALTO",0.399999999999999,0.399999999999999,0
"Destiny 2","Xbox One",87,22,4.4,609,2017-09-06,"Action/Shooter/First-Person/Arcade","Action",8.7,"ALTO","BAIXO",4.3,4.3,0
"Forza Horizon 3: Blizzard Mountain","Xbox One",87,16,7.6,99,2016-12-13,"Racing/Simulation/Automobile","Racing",8.7,"ALTO","ALTO",1.1,1.1,1
"XCOM 2","Xbox One",87,17,7.6,103,2016-09-27,"Strategy/Turn-Based/General/Tactics","Strategy",8.7,"ALTO","ALTO",1.1,1.1,0
"Forza Horizon 3: Hot Wheels","Xbox One",87,13,7.7,103,2017-05-09,"Racing/Simulation/Automobile","Racing",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,1
"Okami HD","Xbox One",87,14,8.4,71,2017-12-12,"Action Adventure/General","Action Adventure",8.7,"ALTO","ALTO",0.299999999999999,0.299999999999999,0
"Thumper","Xbox One",86,7,5.1,10,2017-08-18,"Action/Rhythm/Music","Action",8.6,"ALTO","MEDIO",3.5,3.5,0
"The Witness","Xbox One",86,11,6.9,58,2016-09-13,"Adventure/3D/First-Person","Adventure",8.6,"ALTO","MEDIO",1.7,1.7,0
"DiRT Rally","Xbox One",86,17,7.9,86,2016-04-05,"Racing/Simulation/Automobile","Racing",8.6,"ALTO","ALTO",0.699999999999999,0.699999999999999,0
"Sid Meier's Civilization VI","Xbox One",86,12,7,29,2019-11-22,"Strategy/Turn-Based/4X","Strategy",8.6,"ALTO","MEDIO",1.6,1.6,0
"Cuphead","Xbox One",86,72,8.4,852,2017-09-29,"Action/Platformer/2D","Action",8.6,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Killer Instinct Season 3","Xbox One",86,14,6.6,147,2016-03-29,"Action/Fighting/2D","Action",8.6,"ALTO","MEDIO",2,2,1
"Pillars of Eternity: Complete Edition","Xbox One",86,11,7.6,38,2017-08-29,"Role-Playing/Western-Style","Role-Playing",8.6,"ALTO","ALTO",1,1,0
"Shovel Knight","Xbox One",86,10,7.6,65,2015-04-21,"Action/Platformer/2D","Action",8.6,"ALTO","ALTO",1,1,0
"NBA 2K14","Xbox One",86,15,5.7,184,2013-11-12,"Sim/Sports/Traditional/Team/Basketball/Sim","Sim",8.6,"ALTO","MEDIO",2.9,2.9,0
"DmC: Devil May Cry Definitive Edition","Xbox One",86,20,8,280,2015-03-10,"Fantasy/Action Adventure/General/Linear","Fantasy",8.6,"ALTO","ALTO",0.6,0.6,0
"Sky Force Reloaded","Xbox One",86,10,6.8,16,2017-12-01,"Action/Shooter/Shoot-'Em-Up/Vertical","Action",8.6,"ALTO","MEDIO",1.8,1.8,0
"NBA 2K16","Xbox One",86,14,6.1,123,2015-09-25,"Action/General/Sports/Team/Basketball/Sim","Action",8.6,"ALTO","MEDIO",2.5,2.5,0
"Titanfall","Xbox One",86,68,6.7,2509,2014-03-11,"Shooter/Sci-Fi/Miscellaneous/General/Action/Shooter/First-Person/Sci-Fi/Arcade","Shooter",8.6,"ALTO","MEDIO",1.9,1.9,1
"Diablo III: Ultimate Evil Edition","Xbox One",86,18,7.8,353,2014-08-19,"Role-Playing/Action RPG","Role-Playing",8.6,"ALTO","ALTO",0.8,0.8,0
"Resident Evil 7: biohazard","Xbox One",86,19,7.8,467,2017-01-24,"Action Adventure/Survival","Action Adventure",8.6,"ALTO","ALTO",0.8,0.8,0
"Dragon Ball FighterZ","Xbox One",86,24,7.8,103,2018-01-26,"Action/Fighting/2D","Action",8.6,"ALTO","ALTO",0.8,0.8,0
"Destiny 2: Forsaken","Xbox One",86,16,5.4,102,2018-09-04,"Action/Shooter/First-Person/Arcade","Action",8.6,"ALTO","MEDIO",3.2,3.2,0
"Mortal Kombat 11","Xbox One",86,26,3.3,462,2019-04-23,"Action/Fighting/2D","Action",8.6,"ALTO","BAIXO",5.3,5.3,0
"Tomb Raider: Definitive Edition","Xbox One",86,18,7.7,577,2014-01-28,"Modern/Action Adventure/General/Modern/Linear","Modern",8.6,"ALTO","ALTO",0.899999999999999,0.899999999999999,0
"Rise of the Tomb Raider","Xbox One",86,102,8,1476,2015-11-10,"Fantasy/Action Adventure/General/Linear","Fantasy",8.6,"ALTO","ALTO",0.6,0.6,1
"Forza Horizon 2","Xbox One",86,85,8.3,1111,2014-09-30,"Driving/Racing/Simulation/GT / Street/Automobile","Driving",8.6,"ALTO","ALTO",0.299999999999999,0.299999999999999,1
"Observer","Xbox One",86,8,7.7,53,2017-08-15,"Adventure/3D/First-Person","Adventure",8.6,"ALTO","ALTO",0.899999999999999,0.899999999999999,0
"Dying Light: The Following","Xbox One",86,7,8.1,96,2016-02-09,"Action Adventure/Survival","Action Adventure",8.6,"ALTO","ALTO",0.5,0.5,0
"DiRT 4","Xbox One",86,21,6.7,63,2017-06-06,"Racing/Simulation/Automobile","Racing",8.6,"ALTO","MEDIO",1.9,1.9,0
"Forza Motorsport 7","Xbox One",86,79,6.2,896,2017-09-29,"Racing/Simulation/Automobile","Racing",8.6,"ALTO","MEDIO",2.4,2.4,1
"Mortal Kombat X","Xbox One",86,21,7.6,356,2015-04-14,"Action/Fighting/2D/3D","Action",8.6,"ALTO","ALTO",1,1,0
"Dark Souls Remastered","Xbox One",86,9,7.5,134,2018-05-25,"Role-Playing/Action RPG","Role-Playing",8.6,"ALTO","ALTO",1.1,1.1,0
"NHL 20","Xbox One",85,12,4.2,58,2019-09-10,"Sports/Team/Ice Hockey/Sim","Sports",8.5,"ALTO","BAIXO",4.3,4.3,0
"Thronebreaker: The Witcher Tales","Xbox One",85,7,7.3,49,2018-12-04,"Role-Playing/Action RPG/Strategy/Turn-Based/Card Battle","Role-Playing",8.5,"ALTO","MEDIO",1.2,1.2,0
"Firewatch","Xbox One",85,9,4.9,104,2016-09-21,"Adventure/3D/First-Person","Adventure",8.5,"ALTO","BAIXO",3.6,3.6,0
"Guacamelee! 2","Xbox One",85,9,6.4,30,2019-01-18,"Action/Platformer/2D","Action",8.5,"ALTO","MEDIO",2.1,2.1,0
"Call of Duty: Black Ops 4","Xbox One",85,19,4.1,392,2018-10-12,"Action/Shooter/First-Person/Tactical","Action",8.5,"ALTO","BAIXO",4.4,4.4,0
"Batman: Arkham Knight","Xbox One",85,16,7,878,2015-06-23,"General/Fantasy/Action Adventure/Open-World","General",8.5,"ALTO","MEDIO",1.5,1.5,0
"Assassin's Creed Origins","Xbox One",85,42,7.6,727,2017-10-27,"Action Adventure/Open-World","Action Adventure",8.5,"ALTO","ALTO",0.9,0.9,0
"Dragon Age: Inquisition","Xbox One",85,28,7,825,2014-11-18,"General/Role-Playing/General/Action RPG/Western-Style","General",8.5,"ALTO","MEDIO",1.5,1.5,0
"The Outer Worlds","Xbox One",85,27,8.1,708,2019-10-25,"Role-Playing/Western-Style","Role-Playing",8.5,"ALTO","ALTO",0.4,0.4,0
"F1 2016","Xbox One",85,14,7.9,41,2016-08-19,"Racing/Simulation/Automobile","Racing",8.5,"ALTO","ALTO",0.6,0.6,0
"Final Fantasy X / X-2 HD Remaster","Xbox One",85,7,6.6,34,2019-04-16,"Miscellaneous/Compilation","Miscellaneous",8.5,"ALTO","MEDIO",1.9,1.9,0
"Halo: The Master Chief Collection","Xbox One",85,69,7.6,1607,2014-11-11,"Miscellaneous/Compilation/Action/Shooter/First-Person/Sci-Fi/Arcade","Miscellaneous",8.5,"ALTO","ALTO",0.9,0.9,1
"Pro Evolution Soccer 2016","Xbox One",85,14,6,151,2015-09-15,"Sports/Team/Soccer/Sim","Sports",8.5,"ALTO","MEDIO",2.5,2.5,0
"Age of Wonders: Planetfall","Xbox One",85,10,6.5,25,2019-08-06,"Strategy/Turn-Based/General","Strategy",8.5,"ALTO","MEDIO",2,2,0
"PlayerUnknown's Battlegrounds","Xbox One",85,9,4.9,153,2018-09-04,"Action/Shooter/First-Person/Tactical","Action",8.5,"ALTO","BAIXO",3.6,3.6,0
"The Walking Dead: The Telltale Definitive Series","Xbox One",85,7,7.4,31,2019-09-10,"Miscellaneous/Compilation","Miscellaneous",8.5,"ALTO","MEDIO",1.1,1.1,0
"Monster Boy and the Cursed Kingdom","Xbox One",85,12,7.9,27,2018-12-04,"Action Adventure/General","Action Adventure",8.5,"ALTO","ALTO",0.6,0.6,0
"Trials Rising","Xbox One",85,15,5.4,48,2019-02-26,"Racing/Arcade/Automobile","Racing",8.5,"ALTO","MEDIO",3.1,3.1,0
"NBA 2K18","Xbox One",85,16,1.6,179,2017-09-15,"Sports/Team/Basketball/Sim","Sports",8.5,"ALTO","BAIXO",6.9,6.9,0
"Outer Wilds","Xbox One",85,17,7.7,151,2019-05-30,"Action Adventure/Open-World","Action Adventure",8.5,"ALTO","ALTO",0.8,0.8,0
"Enter The Gungeon","Xbox One",85,11,7.3,23,2017-04-05,"Action/General/Shooter/Shoot-'Em-Up/Top-Down","Action",8.5,"ALTO","MEDIO",1.2,1.2,1
"Project CARS 2","Xbox One",84,22,5.7,69,2017-09-22,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","MEDIO",2.7,2.7,0
"Crash Team Racing: Nitro-Fueled","Xbox One",84,18,6,165,2019-06-21,"Racing/Arcade/Automobile","Racing",8.4,"ALTO","MEDIO",2.4,2.4,0
"Rare Replay","Xbox One",84,75,7.9,365,2015-08-04,"Miscellaneous/Compilation","Miscellaneous",8.4,"ALTO","ALTO",0.5,0.5,1
"South Park: The Fractured But Whole","Xbox One",84,31,7.9,130,2017-10-17,"Role-Playing/General","Role-Playing",8.4,"ALTO","ALTO",0.5,0.5,0
"FIFA 17","Xbox One",84,51,5.2,282,2016-09-27,"Sports/Team/Soccer/Sim","Sports",8.4,"ALTO","MEDIO",3.2,3.2,0
"BioShock: The Collection","Xbox One",84,17,8.7,150,2016-09-13,"Action/Miscellaneous/Shooter/Compilation/First-Person/Arcade","Action",8.4,"ALTO","ALTO",-0.299999999999999,0.299999999999999,0
"Prey","Xbox One",84,22,7.7,285,2017-05-05,"General/Action/Shooter/First-Person/Arcade","General",8.4,"ALTO","ALTO",0.7,0.7,0
"Gears 5","Xbox One",84,89,8.2,2891,2019-09-06,"Action/Shooter/Third-Person/Arcade","Action",8.4,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Gears of War 4","Xbox One",84,99,6.9,1478,2016-10-11,"Sci-Fi/Action/Shooter/Third-Person/Arcade","Sci-Fi",8.4,"ALTO","MEDIO",1.5,1.5,1
"Halo 5: Guardians","Xbox One",84,101,6.4,3287,2015-10-27,"Shooter/Sci-Fi/Sci-Fi/Action/Shooter/First-Person/Arcade","Shooter",8.4,"ALTO","MEDIO",2,2,1
"F1 2017","Xbox One",84,17,7.4,33,2017-08-25,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","MEDIO",1,1,0
"F1 2018","Xbox One",84,18,8,40,2018-08-24,"Racing/Simulation/Automobile","Racing",8.4,"ALTO","ALTO",0.4,0.4,0
"Battle Chasers: Nightwar","Xbox One",84,8,7,50,2017-10-03,"Role-Playing/Action RPG/Japanese-Style","Role-Playing",8.4,"ALTO","MEDIO",1.4,1.4,0
"SoulCalibur VI","Xbox One",84,19,5.1,134,2018-10-19,"Action/Fighting/3D","Action",8.4,"ALTO","MEDIO",3.3,3.3,0
"Frostpunk: Console Edition","Xbox One",84,9,8.2,37,2019-10-11,"Action Adventure/Survival","Action Adventure",8.4,"ALTO","ALTO",0.200000000000001,0.200000000000001,0
"The Missing: JJ Macfield and the Island of Memories","Xbox One",84,8,7,13,2018-10-11,"Action/General","Action",8.4,"ALTO","MEDIO",1.4,1.4,0
"Dishonored: Death of the Outsider","Xbox One",84,16,6.3,53,2017-09-15,"Action Adventure/General","Action Adventure",8.4,"ALTO","MEDIO",2.1,2.1,0
"The Banner Saga 2","Xbox One",84,8,7.6,27,2016-07-01,"Strategy/Turn-Based/Tactics","Strategy",8.4,"ALTO","ALTO",0.800000000000001,0.800000000000001,0
"Bloodstained: Ritual of the Night","Xbox One",84,11,7.9,105,2019-06-18,"Action/Platformer/2D/Role-Playing/Action RPG","Action",8.4,"ALTO","ALTO",0.5,0.5,0
"FRU","Xbox One",84,24,6.8,37,2016-07-13,"Miscellaneous/Puzzle/Action","Miscellaneous",8.4,"ALTO","MEDIO",1.6,1.6,1
"Thimbleweed Park","Xbox One",84,15,7.4,55,2017-03-30,"Adventure/Point-and-Click","Adventure",8.4,"ALTO","MEDIO",1,1,0
